Код;Описание;Уровень
C3010100;Отделка стен;4
C3010110;Отделка стен - Краска;5
C3010120;Отделка стен - Декоративная штукатурка;5
C3010130;Отделка стен - Покрытие обоями;5
C3010140;Отделка стен - Зашивка панелями;5
C3010150;Отделка стен - Кафельная плитка;5
C3010300;Отделка колонн;4
C3020;Отделка полов;3
C3020100;Напольные покрытия;4
C3020110;Бетонные стяжки;5
C3020120;Акриловые покрытия;5
C3020130;Эпоксидные покрытия;5
C3020200;Дорожные мембраны;4
C3020300;Уплотнители;4
C3020400;Напольное покрытие;4
C3020410;Напольное покрытие - Sheet Goods;5
C3020420;Напольное покрытие - Terrazzo;5
C3020430;Напольное покрытие - Кафельная плитка;5
C3020440;Напольное покрытие - Виниловый пол;5
C3020450;Напольное покрытие - Дерево;5
C3020490;Напольное покрытие - Другой;5
C3020500;Ковролин;4
C3020510;Ковер;5
C3020520;Ковровая плитка;5
C3020600;Основание, бордюры, подрезки;4
C3020610;Основа - Винил и резина;5
C3020620;Основа - Дерево;5
C3020700;Входные пьедесталы;4
C3020800;Подпольные и подстилающие слои;4
C3020810;Подпольные и подстилающие слои - Деревянные;5
C3030;Отделка потолка;3
C3030100;Накладные потолочные покрытия;4
C3030110;Потолки - Краска;5
C3030120;Потолки - Штукатурка;5
C3030130;Потолки - Обои;5
C3030140;Потолки - Панели;5
C3030150;Потолки - Плитка;5
C3030200;Подвесные потолки;4
C3030210;Подвесные потолки - Типа ARMSTRONG;5
C3030220;Подвесные потолки - Гипсокартон;5
C3030230;Подвесные потолки - Натяжной;5
C3030300;Компоненты подвесного потолка;4
C3030310;Компоненты потолка - Гипсокартон;5
C3030320;Компоненты потолка - Натяжной;5
C3030900;Другие потолочные отделки;4
D;Обслуживающее оборудование, вспомогательное;1
D10;Транспортирование;2
D1010;Подъемники и лифты;3
D1010100;Пассажирские подъемники;4
D1010110;Подъемники - Гидравлические;5
D1010130;Подъемники - Масляные;5
D1010140;Подъемники - Редукторные;5
D1010150;Подъемники - Тяговые зубчатые;5
D1010200;Грузовые подъемники;4
D1010210;Подъемники - Грузовые;5
D1010300;Лифты;4
D1010310;Лифты - Пассажирские;5
D1020;Эскалаторы и Траволаторы;3
D1020100;Эскалаторы;4
D1020110;Эскалаторы;5
D1020200;Траволаторы;4
D1020210;Траволаторы;5
D1090;Другие конвейерные системы;3
D1090100;Кухонный лифт (небольшой лифт для еды и посуды);4
D1090200;Пневматическая трубная система;4
D1090300;Лебедки и краны;4
D1090400;Конвейеры;4
D1090410;Конвейеры - Горизонтальные и наклонные;5
D1090420;Конвейеры - Вертикальные;5
D1090500;Лотки;4
D1090510;Лотки - Белье и мусороудаление;5
D1090520;Лотки - Почта;5
D1090600;Вращающийся стол;4
D1090700;Системы обработки и загрузки багажа;4
D1090800;Другие системы транспортировки;4
D20;Сантехника;2
D2010;Сантехника;3
D2010100;Унитазы;4
D2010110;Унитазы - Одиночные;5
D2010120;Унитазы - Групповые;5
D2010200;Писсуары;4
D2010210;Писсуары - Одиночные;5
D2010220;Писсуары - С датчиками движения;5
D2010300;Умывальники в санузлах;4
D2010310;Умывальники - Одиночные;5
D2010320;Умывальники - С датчиками движения;5
D2010400;Раковины и мойки;4
D2010410;Раковины - Кухонные;5
D2010420;Раковины - Прачечные;5
D2010430;Раковины - Лабораторные;5
D2010440;Раковины - Служебные;5
D2010500;Ванны;4
D2010510;Ванны;5
D2010600;Фонтаны;4
D2010610;Фонтаны - Группа;5
D2010700;Душ;4
D2010710;Душ;5
D2010800;Питьевые фонтаны и куллеры;4
D2010810;Питьевые фонтаны;5
D2010820;Куллеры;5
D2010900;Другие сантехнические приборы;4
D2010910;Биде;5
D2020;Внутренние системы водоснабжения;3
D2020100;Холодное водоснабжение;4
D2020200;Горячее водоснабжение;4
D2020300;Хозяйственное водоснабжение (не питьевое);4
D2030;Канализация;3
D2030100;Канализационные трубы;4
D2030200;Вентиляционная труба;4
D2030300;Внутренний дренаж в полу;4
D2030400;Оборудование для сантехнических отходов;4
D2030500;Изоляция канализационных труб;4
D2040;Дождевой дренаж;3
D2040100;Трубы и фиттинги;4
D2040200;Кровельный дренаж;4
D2040300;Дренажные насосы и дренажное оборудование;4
D2040400;Изоляция дренажных труб;4
D2090;Другие трубные системы;3
D2090100;Система распределения газа;4
D2090200;Системы кислотных отходов;4
D2090300;Жироуловители и перехватчики;4
